SYMBOL,QUOTE_DATE,BID,ASK,QUOTIM,QUOTEID,QUOTETIM_MS
EUR/USD,2019-05-02,1.1243,1.1248,00:00:07.694000,127391576,7694
EUR/USD,2019-05-02,1.1245,1.1246,00:00:36.639000,127391577,36639
EUR/USD,2019-05-02,1.1245,1.1246,00:00:25.308000,127391578,25308
EUR/USD,2019-05-02,1.1245,1.1246,00:00:30.251000,127391579,30251
EUR/USD,2019-05-02,1.1244,1.1248,00:00:09.717000,127391580,9717
EUR/USD,2019-05-02,1.1243,1.1247,00:00:48.337000,127391581,48337
EUR/USD,2019-05-02,1.1245,1.125,00:00:14.877000,127391582,14877
EUR/USD,2019-05-02,1.1242,1.1247,00:00:40.477000,127391583,40477
EUR/USD,2019-05-02,1.1243,1.1247,00:00:47.914000,127391584,47914
EUR/USD,2019-05-02,1.1243,1.1247,00:00:00.697000,127391585,697
EUR/USD,2019-05-02,1.1242,1.1247,00:00:47.514000,127391586,47514
EUR/USD,2019-05-02,1.1245,1.1246,00:00:00.179000,127391587,179
EUR/USD,2019-05-02,1.1243,1.1245,00:01:05.512000,127391588,65512
EUR/USD,2019-05-02,1.1243,1.1248,00:00:58.508000,127391589,58508
EUR/USD,2019-05-02,1.1243,1.1248,00:00:32.214000,127391590,32214
EUR/USD,2019-05-02,1.1243,1.1245,00:00:46.999000,127391591,45999
EUR/USD,2019-05-02,1.1244,1.1245,00:00:46.430000,127391593,46430
EUR/USD,2019-05-02,1.1243,1.1245,00:00:44.496000,127391594,44496
EUR/USD,2019-05-02,1.1243,1.1248,00:00:23.111000,127391595,23111
EUR/USD,2019-05-02,1.1244,1.1248,00:00:18.133000,127391596,18133
EUR/USD,2019-05-02,1.1242,1.1247,00:00:43.234000,127391597,43234
EUR/USD,2019-05-02,1.1244,1.1248,00:00:05.731000,127391598,5731
EUR/USD,2019-05-02,1.1245,1.1246,00:00:28.712000,127391599,28712
EUR/USD,2019-05-02,1.1243,1.1247,00:00:29.743000,127391600,29743
EUR/USD,2019-05-02,1.1244,1.1249,00:00:10.784000,127391601,10784
EUR/USD,2019-05-02,1.1242,1.1247,00:01:00.626000,127391602,60626
EUR/USD,2019-05-02,1.1244,1.1247,00:00:11.199000,127391603,11199
EUR/USD,2019-05-02,1.1244,1.1249,00:00:04.632000,127391604,4632
EUR/USD,2019-05-02,1.1245,1.1246,00:01:00.141000,127391605,60141
EUR/USD,2019-05-02,1.1244,1.1245,00:01:01.647000,127391606,61647
EUR/USD,2019-05-02,1.1243,1.1248,00:00:08.657000,127391607,8657
EUR/USD,2019-05-02,1.1243,1.1247,00:00:45.897000,127391608,45897
EUR/USD,2019-05-02,1.1245,1.125,00:00:15.963000,127391609,15963
EUR/USD,2019-05-02,1.1243,1.1248,00:00:21.880000,127391610,21880
EUR/USD,2019-05-02,1.1242,1.1247,00:01:02.663000,127391611,62663
EUR/USD,2019-05-02,1.1243,1.1248,00:00:01.462000,127391612,1462
EUR/USD,2019-05-02,1.1243,1.1247,00:01:03.898000,127391613,63898
EUR/USD,2019-05-02,1.1245,1.1247,00:00:06.763000,127391614,6763
EUR/USD,2019-05-02,1.1242,1.1247,00:00:42.413000,127391615,42413
EUR/USD,2019-05-02,1.1243,1.1245,00:01:04.014000,127391616,64014
EUR/USD,2019-05-02,1.1243,1.1247,00:00:40.943000,127391617,40943
EUR/USD,2019-05-02,1.1244,1.1249,00:00:18.884000,127391619,18884
EUR/USD,2019-05-02,1.1243,1.1247,00:00:03.931000,127391620,3931
EUR/USD,2019-05-02,1.1244,1.1249,00:00:16.792000,127391621,16792
EUR/USD,2019-05-02,1.1244,1.1247,00:00:30.991000,127391622,30991
EUR/USD,2019-05-02,1.1243,1.1247,00:00:56.885000,127391623,56885
EUR/USD,2019-05-02,1.1243,1.1247,00:00:39.810000,127391624,39810
EUR/USD,2019-05-02,1.1243,1.1248,00:00:06.664000,127391625,6664
EUR/USD,2019-05-02,1.1243,1.1248,00:00:04.709000,127391626,4709
EUR/USD,2019-05-02,1.1243,1.1248,00:00:59.590000,127391627,59590
EUR/USD,2019-05-02,1.1242,1.1247,00:00:46.365000,127391628,46365
EUR/USD,2019-05-02,1.1244,1.1246,00:00:36.712000,127391629,36712
EUR/USD,2019-05-02,1.1242,1.1247,00:00:31.244000,127391630,31244
EUR/USD,2019-05-02,1.1244,1.1247,00:00:23.220000,127391631,23220
EUR/USD,2019-05-02,1.1245,1.1246,00:00:22.076000,127391632,22076
EUR/USD,2019-05-02,1.1244,1.1246,00:00:03.170000,127391633,3170
EUR/USD,2019-05-02,1.1244,1.1246,00:00:43.157000,127391634,43157
EUR/USD,2019-05-02,1.1243,1.1246,00:01:04.328000,127391636,64328
EUR/USD,2019-05-02,1.1244,1.1249,00:00:20.697000,127391637,20697
EUR/USD,2019-05-02,1.1244,1.1248,00:00:12.712000,127391638,12712
EUR/USD,2019-05-02,1.1243,1.1248,00:00:10.711000,127391639,10711
EUR/USD,2019-05-02,1.1244,1.1246,00:00:23.493000,127391640,23493
EUR/USD,2019-05-02,1.1244,1.1246,00:00:06.196000,127391641,6196
EUR/USD,2019-05-02,1.1241,1.1246,00:00:45.423000,127391642,45423
EUR/USD,2019-05-02,1.1243,1.1247,00:00:38.793000,127391643,38793
EUR/USD,2019-05-02,1.1244,1.1248,00:00:17.724000,127391644,17724
EUR/USD,2019-05-02,1.1243,1.1247,00:00:46.893000,127391645,46893
EUR/USD,2019-05-02,1.1246,1.1247,00:00:13.383000,127391646,13383
EUR/USD,2019-05-02,1.1243,1.1247,00:00:22.742000,127391647,22742
EUR/USD,2019-05-02,1.1242,1.1247,00:00:50.711000,127391648,50711
EUR/USD,2019-05-02,1.1242,1.1247,00:00:45.710000,127391649,45710
EUR/USD,2019-05-02,1.1243,1.1247,00:01:01.891000,127391650,61891
EUR/USD,2019-05-02,1.1242,1.1247,00:01:02.709000,127391651,62709
EUR/USD,2019-05-02,1.1242,1.1247,00:00:48.437000,127391652,48437
EUR/USD,2019-05-02,1.1244,1.1245,00:00:31.617000,127391653,31617
EUR/USD,2019-05-02,1.1243,1.1247,00:00:21.733000,127391654,21733
EUR/USD,2019-05-02,1.1243,1.1248,00:00:24.112000,127391655,24112
EUR/USD,2019-05-02,1.1242,1.1247,00:01:03.583000,127391656,63583
EUR/USD,2019-05-02,1.1244,1.1249,00:00:17.941000,127391657,17941
EUR/USD,2019-05-02,1.1243,1.1245,00:00:32.193000,127391658,32193
EUR/USD,2019-05-02,1.1244,1.1245,00:01:01.591000,127391659,61591
EUR/USD,2019-05-02,1.1243,1.1248,00:00:02.611000,127391660,2611
EUR/USD,2019-05-02,1.1246,1.1247,00:00:15.712000,127391661,15712
EUR/USD,2019-05-02,1.1243,1.1245,00:01:05.704000,127391662,65704
EUR/USD,2019-05-02,1.1244,1.1246,00:01:03.028000,127391663,63028
EUR/USD,2019-05-02,1.1243,1.1247,00:00:58.884000,127391664,58884
EUR/USD,2019-05-02,1.1243,1.1247,00:00:57.882000,127391665,57882
EUR/USD,2019-05-02,1.1245,1.1246,00:00:23.978000,127391666,23978
EUR/USD,2019-05-02,1.1245,1.1248,00:00:13.299000,127391667,13299
EUR/USD,2019-05-02,1.1244,1.1246,00:00:32.886000,127391669,32886
EUR/USD,2019-05-02,1.1244,1.1249,00:00:11.812000,127391670,11812
EUR/USD,2019-05-02,1.1245,1.1246,00:00:57.178000,127391671,57178
EUR/USD,2019-05-02,1.1243,1.1248,00:01:16.883000,127391672,76883
EUR/USD,2019-05-02,1.1243,1.1245,00:01:11.708000,127391673,71708
EUR/USD,2019-05-02,1.1242,1.1247,00:01:15.725000,127391674,75725
EUR/USD,2019-05-02,1.1243,1.1247,00:01:13.893000,127391675,73893
EUR/USD,2019-05-02,1.1243,1.1247,00:01:14.883000,127391676,74883
EUR/USD,2019-05-02,1.1243,1.1245,00:01:18.451000,127391677,78451
EUR/USD,2019-05-02,1.1242,1.1247,00:01:18.790000,127391678,78790
EUR/USD,2019-05-02,1.1246,1.1247,00:01:18.501000,127391679,78501
EUR/USD,2019-05-02,1.1242,1.1247,00:01:14.806000,127391680,74806
EUR/USD,2019-05-02,1.1243,1.1248,00:01:11.744000,127391681,71744
EUR/USD,2019-05-02,1.1242,1.1247,00:01:20.009000,127391682,80009
EUR/USD,2019-05-02,1.1242,1.1247,00:01:15.884000,127391683,75884
EUR/USD,2019-05-02,1.1243,1.1248,00:01:17.818000,127391684,77818
EUR/USD,2019-05-02,1.1243,1.1248,00:01:12.779000,127391685,72779
EUR/USD,2019-05-02,1.1244,1.1248,00:01:18.086000,127391686,78086
EUR/USD,2019-05-02,1.1243,1.1247,00:01:17.887000,127391687,77887
EUR/USD,2019-05-02,1.1243,1.1247,00:01:18.704000,127391688,78704
EUR/USD,2019-05-02,1.1245,1.1246,00:01:11.588000,127391689,71588
EUR/USD,2019-05-02,1.1243,1.1245,00:01:15.055000,127391690,75055
EUR/USD,2019-05-02,1.1243,1.1247,00:01:10.977000,127391691,70977
EUR/USD,2019-05-02,1.1244,1.1246,00:01:13.909000,127391692,73909
EUR/USD,2019-05-02,1.1244,1.1249,00:01:29.165000,127391693,89165
EUR/USD,2019-05-02,1.1243,1.1245,00:01:23.127000,127391694,83127
EUR/USD,2019-05-02,1.1244,1.1245,00:01:22.477000,127391695,82477
EUR/USD,2019-05-02,1.1243,1.1248,00:01:26.985000,127391696,86985
EUR/USD,2019-05-02,1.1244,1.1247,00:01:24.083000,127391697,84083
EUR/USD,2019-05-02,1.1245,1.1247,00:01:26.115000,127391698,86115
EUR/USD,2019-05-02,1.1242,1.1247,00:01:20.947000,127391699,80947
EUR/USD,2019-05-02,1.1244,1.1249,00:01:30.165000,127391700,90165
EUR/USD,2019-05-02,1.1245,1.1246,00:01:22.971000,127391701,82971
EUR/USD,2019-05-02,1.1245,1.1246,00:01:27.590000,127391702,87590
EUR/USD,2019-05-02,1.1243,1.1248,00:01:28.095000,127391703,88095
EUR/USD,2019-05-02,1.1242,1.1247,00:01:24.996000,127391704,84996
EUR/USD,2019-05-02,1.1244,1.1248,00:01:26.890000,127391705,86890
EUR/USD,2019-05-02,1.1243,1.1245,00:01:24.711000,127391706,84711
EUR/USD,2019-05-02,1.1245,1.1246,00:01:37.480000,127391707,97480
EUR/USD,2019-05-02,1.1244,1.1246,00:01:33.044000,127391708,93044
EUR/USD,2019-05-02,1.1246,1.1247,00:01:32.566000,127391709,92566
EUR/USD,2019-05-02,1.1245,1.1246,00:01:40.713000,127391710,100713
EUR/USD,2019-05-02,1.1244,1.1249,00:01:31.135000,127391711,91135
EUR/USD,2019-05-02,1.1244,1.1249,00:01:31.709000,127391712,91709
EUR/USD,2019-05-02,1.1245,1.1248,00:01:51.303000,127391713,111303
EUR/USD,2019-05-02,1.1244,1.1248,00:01:50.956000,127391714,110956
EUR/USD,2019-05-02,1.1245,1.1246,00:01:42.214000,127391715,102214
EUR/USD,2019-05-02,1.1244,1.1248,00:01:45.915000,127391716,105915
EUR/USD,2019-05-02,1.1244,1.1248,00:01:48.916000,127391717,108916
EUR/USD,2019-05-02,1.1244,1.1249,00:01:47.368000,127391718,107368
EUR/USD,2019-05-02,1.1245,1.125,00:01:46.340000,127391719,106340
EUR/USD,2019-05-02,1.1244,1.1246,00:01:42.931000,127391720,102931
EUR/USD,2019-05-02,1.1244,1.1248,00:01:50.714000,127391721,110714
EUR/USD,2019-05-02,1.1244,1.1248,00:01:49.902000,127391722,109902
EUR/USD,2019-05-02,1.1244,1.1248,00:01:43.908000,127391723,103908
EUR/USD,2019-05-02,1.1244,1.1247,00:01:44.212000,127391724,104212
EUR/USD,2019-05-02,1.1244,1.1248,00:01:42.905000,127391725,102905
EUR/USD,2019-05-02,1.1244,1.1248,00:01:48.250000,127391726,108250
EUR/USD,2019-05-02,1.1243,1.1248,00:01:57.578000,127391727,117578
EUR/USD,2019-05-02,1.1243,1.1248,00:01:56.386000,127391728,116386
EUR/USD,2019-05-02,1.1244,1.1248,00:01:59.936000,127391729,119936
EUR/USD,2019-05-02,1.1243,1.1248,00:01:59.591000,127391730,119591
EUR/USD,2019-05-02,1.1244,1.1248,00:01:53.918000,127391731,113918
EUR/USD,2019-05-02,1.1245,1.125,00:02:01.629000,127391732,121629
EUR/USD,2019-05-02,1.1244,1.1248,00:01:52.917000,127391733,112917
EUR/USD,2019-05-02,1.1244,1.1248,00:01:56.713000,127391734,116713
EUR/USD,2019-05-02,1.1244,1.1248,00:01:58.929000,127391735,118929
EUR/USD,2019-05-02,1.1246,1.1247,00:02:00.395000,127391736,120395
EUR/USD,2019-05-02,1.1244,1.1249,00:02:00.508000,127391737,120508
EUR/USD,2019-05-02,1.1244,1.1248,00:01:55.927000,127391738,115927
EUR/USD,2019-05-02,1.1244,1.1248,00:02:00.973000,127391739,120973
EUR/USD,2019-05-02,1.1244,1.1248,00:01:58.302000,127391740,118302
EUR/USD,2019-05-02,1.1244,1.1248,00:01:54.924000,127391741,114924
EUR/USD,2019-05-02,1.1244,1.1249,00:01:58.481000,127391742,118481
EUR/USD,2019-05-02,1.1247,1.1248,00:02:03.716000,127391743,123716
EUR/USD,2019-05-02,1.1245,1.1246,00:02:07.630000,127391744,127630
EUR/USD,2019-05-02,1.1244,1.1249,00:02:06.808000,127391745,126808
EUR/USD,2019-05-02,1.1247,1.1248,00:02:01.887000,127391746,121887
EUR/USD,2019-05-02,1.1245,1.125,00:02:07.668000,127391747,127668
EUR/USD,2019-05-02,1.1244,1.1249,00:02:04.791000,127391748,124791
EUR/USD,2019-05-02,1.1245,1.125,00:02:03.609000,127391749,123609
EUR/USD,2019-05-02,1.1245,1.125,00:02:08.770000,127391750,128770
EUR/USD,2019-05-02,1.1244,1.1246,00:02:03.148000,127391751,123148
EUR/USD,2019-05-02,1.1245,1.125,00:02:05.756000,127391752,125756
EUR/USD,2019-05-02,1.1246,1.1247,00:02:07.150000,127391753,127150
EUR/USD,2019-05-02,1.1244,1.1249,00:02:02.885000,127391754,122885
EUR/USD,2019-05-02,1.1244,1.1249,00:02:07.567000,127391755,127567
EUR/USD,2019-05-02,1.1244,1.1248,00:02:05.325000,127391756,125325
